device,cpu,mcs,txpower,mean_traffic_load,max_capacity,max_gp_capacity,mean_thr,mean_gput,mean_snr,SNR_normalized,mean_q7,mean_q11,mean_q25,mean_bler,mean_bsr,mean_it,mean_dectime,mean_overflows,mean_underflows,mean_lates,count
I7-5600U @ 2.60GHz,0.1,0,-16,2.3,3.312635315,2.6094508,0.119505288,0.118107372,2.426582353,18.42658235,1,1,1,0.748843333,135109.6423,5.100768713,657.3078454,0.312007202,0.273856087,16.30445355,3
I7-5600U @ 2.60GHz,0.1,0,-16,5.75,7.039359095,6.234428138,0.137756039,0.13650978,1.990551255,17.99055125,1,1,1,0.588053333,91077.21934,2.648721422,1342.032552,0.271851712,0.2499188,15.04041033,3
I7-5600U @ 2.60GHz,0.1,0,-16,11.5,12.36441646,12.19656422,0.156095724,0.155047291,2.190038936,18.19003894,1,1,1,0.6527415,106769.4502,3.256302128,318.1257447,0.29893617,0.193191489,16.54319149,2
I7-5600U @ 2.60GHz,0.1,0,-16,17.25,18.28636109,18.25768486,0.163306246,0.160104121,2.725962558,18.72596256,1,1,1,1,102535.5948,3.206828917,1352.331717,0.262096774,0.262960829,14.5766129,2
I7-5600U @ 2.60GHz,0.1,0,-16,23,20.70891275,20.69123762,0.12132019,0.120228136,1.564951613,17.56495161,1,1,1,1,82136.27419,2.465483871,1205.004001,0.274193548,0.258064516,16.35483871,1
I7-5600U @ 2.60GHz,0.1,0,-16,28.75,20.70876387,20.69035338,0.128436539,0.122341397,2.547963801,18.5479638,1,1,1,1,87367.91968,3.414835973,2316.053513,0.269230769,0.298642534,14.70984163,2
I7-5600U @ 2.60GHz,0.1,0,-15,2.3,3.312635315,2.6094508,0.165066238,0.157368234,4.181076923,19.18107692,1,1,1,0.669541,98479.59615,4.280961538,1543.687049,0.288461538,0.153846154,16.46153846,1
I7-5600U @ 2.60GHz,0.1,0,-15,5.75,7.039359095,6.234428138,0.179193297,0.177760395,2.878531915,17.87853191,1,1,1,0.667003,107106,3.343829787,325.9574468,0.29787234,0.127659574,16.34042553,1
I7-5600U @ 2.60GHz,0.1,0,-15,11.5,12.36441646,12.19656422,0.202149814,0.200833386,3.368125,18.368125,1,1,1,0.65288,125060.3333,3.311666667,4835.00415,0.270833333,0.229166667,14.5,1
I7-5600U @ 2.60GHz,0.1,0,-15,17.25,18.28636109,18.25768486,0.185966177,0.184404961,3.08576,18.08576,1,1,1,0.63635,113077.9,3.2036,2771.997676,0.28,0.2,15.8,1
I7-5600U @ 2.60GHz,0.1,0,-15,23,20.70891275,20.69123762,0.194819654,0.193181901,3.072909091,18.07290909,1,1,1,1,119301.5455,3.460227273,1352.82271,0.295454545,0.136363636,16.20454545,1
I7-5600U @ 2.60GHz,0.1,0,-15,28.75,20.70876387,20.69035338,0.037090866,0.0342163,2.349211765,17.34921176,1,1,1,1,206492.0588,7.962941176,2553.229458,0.323529412,0.294117647,18.88235294,1
I7-5600U @ 2.60GHz,0.1,0,-14,2.3,3.312635315,2.6094508,0.250495262,0.248854424,4.321489796,18.3214898,1,1,1,0.682898,137740.5714,4.158979592,4632.830158,0.306122449,0.183673469,16.42857143,1
I7-5600U @ 2.60GHz,0.1,0,-14,5.75,7.039359095,6.234428138,0.173198724,0.171728222,3.16654902,17.16654902,1,1,1,0.630198,103562.549,3.192941176,1526.509804,0.274509804,0.137254902,15.54901961,1
I7-5600U @ 2.60GHz,0.1,0,-14,11.5,12.36441646,12.19656422,0,0,0.084778125,14.08477813,1,1,1,1,2.84375,9.375,229.03125,0.21875,0.21875,11.1875,1
I7-5600U @ 2.60GHz,0.1,0,-14,17.25,18.28636109,18.25768486,0.232732922,0.231957693,2.820785714,16.82078571,1,1,1,0.572895,91689.25,2.769821429,925.8928571,0.285714286,0.25,16.17857143,1
I7-5600U @ 2.60GHz,0.1,0,-14,23,20.70891275,20.69123762,0.177444503,0.176042369,3.48877551,17.48877551,1,1,1,1,114248.9592,3.247142857,183.755102,0.285714286,0.142857143,16.08163265,1
I7-5600U @ 2.60GHz,0.1,0,-14,28.75,20.70876387,20.69035338,0.168885986,0.167792461,2.879226415,16.87922642,1,1,1,1,93292.37736,2.445471698,2753.00737,0.245283019,0.169811321,13.50943396,1
I7-5600U @ 2.60GHz,0.1,0,-13,2.3,3.312635315,2.6094508,0.185814534,0.184456851,3.640053571,16.64005357,1,1,1,0.57605,106458.3036,2.93,3709.191964,0.25,0.232142857,14.35714286,1
I7-5600U @ 2.60GHz,0.1,0,-13,5.75,7.039359095,6.234428138,0.184850804,0.177084481,4.968618182,17.96861818,1,1,1,0.625833,107429.6364,3.871454545,2114.129119,0.254545455,0.218181818,14.16363636,1
I7-5600U @ 2.60GHz,0.1,0,-13,11.5,12.36441646,12.19656422,0.172623837,0.171402925,3.475509091,16.47550909,1,1,1,0.59954,112731.7636,3.203090909,4341.307315,0.254545455,0.2,13.54545455,1
I7-5600U @ 2.60GHz,0.1,0,-13,17.25,18.28636109,18.25768486,0.178558132,0.177489164,3.468392857,16.46839286,1,1,1,1,107543.7143,2.933571429,4861.836809,0.25,0.178571429,14.10714286,1
I7-5600U @ 2.60GHz,0.1,0,-12,2.3,3.312635315,2.6094508,0.024963486,0.0241737,2.092379032,14.09237903,1,1,1,1,193335,8.980322581,351.2903226,0.322580645,0.193548387,17.12903226,1
I7-5600U @ 2.60GHz,0.1,0,-12,5.75,7.039359095,6.234428138,0.198791381,0.197276774,4.1440625,16.1440625,1,1,1,0.64713,111100.9792,3.127708333,582.8394775,0.291666667,0.166666667,16.27083333,1
I7-5600U @ 2.60GHz,0.1,0,-12,11.5,12.36441646,12.19656422,0.19073455,0.189280984,4.277695652,16.27769565,1,1,1,0.66136,114059.3043,3.121304348,1344.336957,0.282608696,0.173913043,15.13043478,1
I7-5600U @ 2.60GHz,0.1,0,-12,17.25,18.28636109,18.25768486,0.061278691,0.060719866,1.488143396,13.4881434,1,1,1,1,115376.3774,6.189056604,2649.084371,0.264150943,0.20754717,15.20754717,1
I7-5600U @ 2.60GHz,0.1,0,-12,23,20.70891275,20.69123762,0.167132111,0.165741712,3.76490566,15.76490566,1,1,1,1,100790.9245,2.944150943,636.5919996,0.283018868,0.094339623,16.24528302,1
I7-5600U @ 2.60GHz,0.1,0,-12,28.75,20.70876387,20.69035338,0.196080386,0.192223491,5.572930233,17.57293023,1,1,1,1,125454.6047,4.238139535,712.9218296,0.302325581,0.162790698,17.3255814,1
I7-5600U @ 2.60GHz,0.1,0,-11,2.3,3.312635315,2.6094508,0.243295207,0.241150576,5.622481558,16.62248156,1,1,1,0.693077333,135215.1119,4.157119288,1088.490312,0.2996633,0.1996633,16.23958634,3
I7-5600U @ 2.60GHz,0.1,0,-11,5.75,7.039359095,6.234428138,0.319513865,0.315352934,5.238684519,16.23868452,1,1,1,0.6211215,109490.7447,3.354955979,2368.193849,0.269625825,0.278246515,14.91837858,2
I7-5600U @ 2.60GHz,0.1,0,-11,11.5,12.36441646,12.19656422,0.172738273,0.164264217,5.979574194,16.97957419,1,1,1,0.5599,106313.5968,3.612580645,3607.98091,0.241935484,0.290322581,13.33870968,1
I7-5600U @ 2.60GHz,0.1,0,-11,17.25,18.28636109,18.25768486,0.284384935,0.282229242,4.871428571,15.87142857,1,1,1,0.63399,109385.9026,3.271258117,1635.238046,0.263798701,0.277597403,14.8612013,2
I7-5600U @ 2.60GHz,0.1,0,-11,23,20.70891275,20.69123762,0.112466063,0.110944932,3.350421351,14.35042135,1,1,1,1,159326.9356,6.106731366,1243.861913,0.302018634,0.244565217,16.16925466,2
I7-5600U @ 2.60GHz,0.1,0,-11,28.75,20.70876387,20.69035338,0.108628262,0.107774535,2.625817708,13.62581771,1,1,1,1,112293.7396,4.721822917,4003.147207,0.244791667,0.260416667,13.515625,2
I7-5600U @ 2.60GHz,0.1,0,-10,2.3,3.312635315,2.6094508,0.310057834,0.306282045,6.471632653,16.47163265,1,1,1,0.66867,131341.3061,3.893673469,429.6122449,0.306122449,0.183673469,17.02040816,1
I7-5600U @ 2.60GHz,0.1,0,-10,5.75,7.039359095,6.234428138,0.028211837,0.027911405,0.784530508,10.78453051,1,1,1,1,108405.3729,6.638983051,3867.565082,0.237288136,0.254237288,12.66101695,1
I7-5600U @ 2.60GHz,0.1,0,-10,11.5,12.36441646,12.19656422,0.169296889,0.167906467,4.276648148,14.27664815,1,1,1,0.57859,94349.03704,2.595740741,617.5121166,0.277777778,0.111111111,15.07407407,1
I7-5600U @ 2.60GHz,0.1,0,-10,17.25,18.28636109,18.25768486,0.187518657,0.185979505,4.899534884,14.89953488,1,1,1,0.6846,111533.2093,3.144186047,354.6744186,0.302325581,0.186046512,16.34883721,1
I7-5600U @ 2.60GHz,0.1,0,-10,23,20.70891275,20.69123762,0.166945234,0.165661334,4.247857143,14.24785714,1,1,1,1,93523.78571,2.578214286,1707.392543,0.267857143,0.089285714,14.73214286,1
I7-5600U @ 2.60GHz,0.1,0,-10,28.75,20.70876387,20.69035338,0.40703732,0.401902709,8.264639216,18.26463922,1,1,1,0.688882,100886.6471,4.497647059,902.2784314,0.294117647,0.294117647,17.19607843,1
I7-5600U @ 2.60GHz,0.1,0,-9,2.3,3.312635315,2.6094508,0.409270478,0.403432481,7.712272727,16.71227273,1,1,1,0.699381,140676.2045,3.853636364,960.0956143,0.318181818,0.340909091,17.34090909,1
I7-5600U @ 2.60GHz,0.1,0,-9,5.75,7.039359095,6.234428138,0.185226939,0.183803061,5.521875,14.521875,1,1,1,0.63845,109179.6667,2.945208333,2349.622152,0.270833333,0.166666667,14.02083333,1
I7-5600U @ 2.60GHz,0.1,0,-9,11.5,12.36441646,12.19656422,0.167040026,0.165764949,4.767104167,13.76710417,1,1,1,0.64653,102897.9167,3.060208333,581.6851807,0.270833333,0.166666667,14.47916667,1
I7-5600U @ 2.60GHz,0.1,0,-9,23,20.70891275,20.69123762,0.177107542,0.175715886,5.062078431,14.06207843,1,1,1,1,108643.3725,3.218235294,167.9019608,0.274509804,0.117647059,16.17647059,1
I7-5600U @ 2.60GHz,0.1,0,-9,28.75,20.70876387,20.69035338,0.088009658,0.083381661,5.327302326,14.32730233,1,1,1,1,264518.7209,7.505581395,582.3255814,0.325581395,0.279069767,16.30232558,1
I7-5600U @ 2.60GHz,0.1,0,-8,2.3,3.312635315,2.6094508,0.267763091,0.266263361,6.128561125,14.12856113,1,1,1,0.6233435,109529.5036,3.417758745,1889.605604,0.284529391,0.182654165,15.82798413,2
I7-5600U @ 2.60GHz,0.1,0,-8,5.75,7.039359095,6.234428138,0.149094581,0.147596832,5.553491837,13.55349184,1,1,1,0.725919,118071.6939,4.392465986,1099.557483,0.275510204,0.18877551,16.22959184,2
I7-5600U @ 2.60GHz,0.1,0,-8,11.5,12.36441646,12.19656422,0.181520134,0.178764023,7.264381751,15.26438175,1,1,1,0.660635,113571.356,3.694783142,2297.617853,0.283551555,0.190875614,16.26902619,2
I7-5600U @ 2.60GHz,0.1,0,-8,17.25,18.28636109,18.25768486,0.125598606,0.122486378,5.314598006,13.31459801,1,1,1,1,177399.3013,5.430146011,1009.630685,0.301282051,0.22542735,16.55306268,2
I7-5600U @ 2.60GHz,0.1,0,-8,23,20.70891275,20.69123762,0.135565176,0.130485687,5.96273066,13.96273066,1,1,1,1,103547.9846,4.127811321,4081.24034,0.266509434,0.218238994,15.33396226,2
I7-5600U @ 2.60GHz,0.1,0,-8,28.75,20.70876387,20.69035338,0.110732021,0.109916235,3.589222421,11.58922242,1,1,1,1,110033.2037,4.721613757,2953.334946,0.254960317,0.217261905,14.56150794,2
I7-5600U @ 2.60GHz,0.1,0,-7,2.3,3.312635315,2.6094508,0.448217746,0.446396042,8.480277778,15.48027778,1,1,1,0.7161085,138473.8992,4.24115404,1216.258938,0.314646465,0.202272727,16.86843434,2
I7-5600U @ 2.60GHz,0.1,0,-7,5.75,7.039359095,6.234428138,0.166402242,0.165535563,6.339333333,13.33933333,1,1,1,0.54326,104961.0667,2.826166667,6534.46748,0.25,0.216666667,13.33333333,1
